SN,Date,LTP,%change,High,Low,Open,Qty.,Turnover
79,2023/08/07,225.00,-1.7,226.70,222.00,226.00,"7,440","1,664,567.50"
80,2023/08/06,228.90,-0.04,233.50,221.00,229.00,"9,383","2,119,700.00"
81,2023/08/03,229.00,-2.55,237.80,227.70,232.10,"7,105","1,649,506.10"
82,2023/08/02,235.00,2.4,243.30,225.20,225.20,"2,888","661,013.40"
83,2023/08/01,229.50,-3.16,238.00,229.50,234.00,"8,248","1,920,325.90"
84,2023/07/31,237.00,-1.25,244.00,236.00,244.00,"3,841","922,067.70"
85,2023/07/30,240.00,-2.04,249.90,240.00,243.00,"8,395","2,039,810.30"
86,2023/07/27,245.00,-1.21,252.90,245.00,245.20,"3,763","927,934.10"
87,2023/07/26,248.00,-0.84,255.10,247.00,255.00,"8,416","2,105,769.30"
88,2023/07/25,250.10,-1.15,256.00,248.00,248.00,"5,691","1,435,944.90"
89,2023/07/24,253.00,0.04,265.20,250.00,250.00,"11,178","2,874,991.00"
90,2023/07/23,252.90,2.39,256.00,245.00,245.00,"8,031","2,014,252.90"
91,2023/07/20,247.00,0,255.00,243.00,243.00,"7,253","1,814,377.00"
92,2023/07/19,247.00,-1.2,252.00,246.00,246.00,"9,612","2,392,130.80"
93,2023/07/18,250.00,-1.96,257.90,250.00,255.00,"9,930","2,522,493.00"
94,2023/07/17,255.00,2.41,257.00,249.10,253.90,"6,900","1,756,027.00"
95,2023/07/16,249.00,-3.86,255.50,249.00,255.00,"5,305","1,339,495.00"
96,2023/07/13,259.00,-1.89,269.20,253.80,258.90,"11,755","3,060,342.50"
97,2023/07/12,264.00,2.72,267.20,253.10,262.00,"17,411","4,555,447.60"
